"Submit_ID","Brand_Reg","Model_No","Country","screensize","Screen_Tech","Avg_mode_power","Availability Status","Star2","Screen_Size_Inches","Screen_Size_Category_Num"
151615,"SAMSUNG ELECTRONICS","UA75CU7100S","Vietnam",189.338,"LCD (LED)",139,"Available",5.5,74.5423706,"75.0"
151615,"SAMSUNG ELECTRONICS","UA75CU7*00S","Vietnam",189.338,"LCD (LED)",139,"Available",5.5,74.5423706,"75.0"
151630,"LG","43UR8050PSB","Indonesia,South Korea",107.987,"LCD (LED)",73,"Available",4,42.5144819,"43.0"
151631,"LG","43UR80006LJ","Indonesia,South Korea",107.987,"LCD (LED)",73,"Available",4,42.5144819,"43.0"
151632,"LG","50UR8050PSB","Indonesia,South Korea",125.727,"LCD (LED)",78,"Available",4.5,49.4987199,"50.0"
151633,"LG","50UR80006LJ","Indonesia,South Korea",125.727,"LCD (LED)",78,"Available",4.5,49.4987199,"50.0"
151634,"LG","55UR8050PSB","Indonesia,South Korea",138.783,"LCD (LED)",97,"Available",4.5,54.63886709999999,"55.0"
151635,"LG","55UR80006LJ","Indonesia,South Korea",138.783,"LCD (LED)",97,"Available",4.5,54.63886709999999,"55.0"
151636,"LG","65UR8050PSB","Indonesia,South Korea",163.897,"LCD (LED)",127,"Available",4.5,64.5262489,"65.0"
151637,"LG","65UR80006LJ","Indonesia,South Korea",163.897,"LCD (LED)",127,"Available",4.5,64.5262489,"65.0"
151638,"LG","75UR8050PSB","Indonesia,South Korea",189.275,"LCD (LED)",165,"Available",5,74.5175675,"75.0"
151639,"LG","86UR8050PSB","Indonesia,South Korea",217.425,"LCD (LED)",250,"Available",4,85.6002225,"86.0"
151642,"FFALCON","FF43RU62","China",107.95,"LCD (LED)",36.7,"Available",6,42.499915,"43.0"
151648,"SAMSUNG ELECTRONICS","QA75QN85CAW","Vietnam",189.338,"LCD (LED)",153,"Available",5,74.5423706,"75.0"
151648,"SAMSUNG ELECTRONICS","QA75QN85CAS","Vietnam",189.338,"LCD (LED)",153,"Available",5,74.5423706,"75.0"
151648,"SAMSUNG ELECTRONICS","QA75QN85CA*","Vietnam",189.338,"LCD (LED)",153,"Available",5,74.5423706,"75.0"
151691,"SAMSUNG ELECTRONICS","QA43QN90CAW","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151691,"SAMSUNG ELECTRONICS","QA43QN90CAS","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151691,"SAMSUNG ELECTRONICS","QA43QN90CA*","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
151692,"Sony","XR-75X90L","Malaysia",189.306,"LCD (LED)",159.3,"Available",5,74.5297722,"75.0"
151696,"PRISM+","Q65U","China",163.897,"LCD (LED)",110.448,"Available",5,64.5262489,"65.0"
151711,"SAMSUNG ELECTRONICS","QA65QN85CAW","Vietnam",163.897,"LCD (LED)",137,"Available",4.5,64.5262489,"65.0"
151711,"SAMSUNG ELECTRONICS","QA65QN85CAS","Vietnam",163.897,"LCD (LED)",137,"Available",4.5,64.5262489,"65.0"
151711,"SAMSUNG ELECTRONICS","QA65QN85CA*","Vietnam",163.897,"LCD (LED)",137,"Available",4.5,64.5262489,"65.0"
151712,"SAMSUNG ELECTRONICS","UA43CU8000W","Vietnam",107.987,"LCD (LED)",70,"Available",4,42.5144819,"43.0"
